,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,antecedents_length,consequents_length
534,"frozenset({'state', 'time'})",frozenset({'people'}),0.294155427103404,0.4993577392421323,0.20616570327552985,0.7008733624454149,1.403549614569146,0.05927691421137021,1.6736799666211932,0.4073428407019693,2,1
535,frozenset({'people'}),"frozenset({'state', 'time'})",0.4993577392421323,0.294155427103404,0.20616570327552985,0.41286173633440515,1.403549614569146,0.05927691421137021,1.202177777496393,0.5743037612975808,1,2
98,frozenset({'government'}),frozenset({'people'}),0.28837508028259473,0.4993577392421323,0.20199100834938985,0.700445434298441,1.4026926574953988,0.05798868020570494,1.671289034054146,0.403422428587007,1,1
99,frozenset({'people'}),frozenset({'government'}),0.4993577392421323,0.28837508028259473,0.20199100834938985,0.4045016077170418,1.4026926574953988,0.05798868020570494,1.1950072895902433,0.5734343179915378,1,1
431,"frozenset({'new', 'time'})",frozenset({'make'}),0.28195247270391777,0.5061014771997431,0.20006422607578678,0.7095671981776767,1.4020255425921861,0.05736766314021377,1.7005604039946107,0.3993415782023048,2,1
434,frozenset({'make'}),"frozenset({'new', 'time'})",0.5061014771997431,0.28195247270391777,0.20006422607578678,0.3953045685279188,1.402025542592186,0.05736766314021377,1.1874532035872254,0.5805772229261077,1,2
203,frozenset({'right'}),frozenset({'people'}),0.33590237636480413,0.4993577392421323,0.2350674373795761,0.6998087954110899,1.4014177420643947,0.06733198611198768,1.667744601123343,0.43131744723129456,1,1
202,frozenset({'people'}),frozenset({'right'}),0.4993577392421323,0.33590237636480413,0.2350674373795761,0.47073954983922833,1.4014177420643947,0.06733198611198768,1.2547652548635841,0.5721388588032822,1,1
207,frozenset({'think'}),frozenset({'people'}),0.2964033397559409,0.4993577392421323,0.2071290944123314,0.6988082340195017,1.3994140454898574,0.05911779276798712,1.662204340573784,0.4056517324219234,1,1
206,frozenset({'people'}),frozenset({'think'}),0.4993577392421323,0.2964033397559409,0.2071290944123314,0.41479099678456594,1.3994140454898574,0.05911779276798712,1.2022997875599033,0.5700981050265773,1,1
340,"frozenset({'say', 'state'})",frozenset({'come'}),0.3481053307642903,0.4120102761721259,0.20070648683365447,0.5765682656826568,1.3994026339328085,0.05728351336847001,1.3886293259900122,0.43781517241379325,2,1
345,frozenset({'come'}),"frozenset({'say', 'state'})",0.4120102761721259,0.3481053307642903,0.20070648683365447,0.48713951675759937,1.3994026339328085,0.05728351336847001,1.2710955328714522,0.4853985800109231,1,2
507,frozenset({'state'}),"frozenset({'new', 'say'})",0.4733461785484907,0.31567116249197175,0.20905587668593448,0.44165535956580726,1.3990994808625878,0.05963413824239999,1.225638768513771,0.5416357573713985,1,2
