Entity,Label,Count of NER
february 21 2016,DATE,1
122,CARDINAL,4
sana news agency,ORG,1
brussels,GPE,146
march 22 2016,DATE,1
32,CARDINAL,49
belgian,NORP,110
thousands yazidi,CARDINAL,1
darfur,GPE,1
3930,CARDINAL,1
jeff,PERSON,54
nebraska,GPE,30
congress state department,ORG,2
genocide kerry,PERSON,1
august 2014,DATE,9
last united states,GPE,1
kerry obama,PERSON,2
shia,NORP,17
donald wuerl,PERSON,1
uss midway aircraft,LOC,1
san diego,GPE,20
romney,ORG,1
last eight years,DATE,7
rtexas,ORG,39
2012 election dozen,QUANTITY,1
95 percent,PERCENT,17
medicaid,ORG,82
king fill supreme court,ORG,1
chris cuomo,PERSON,15
vacancy year,DATE,1
point republican party,ORG,1
tea party,ORG,4
donald trump ben carson,PERSON,10
look republican party,ORG,2
jim demint,PERSON,7
carson trump,PERSON,12
next years,DATE,28
fifty years,DATE,2
thirty years ago,DATE,2
230,CARDINAL,5
rudy giuliani,PERSON,31
26 yearold,DATE,1
unitarian,PERSON,1
young mother,PERSON,1
giuliani giuliani,PERSON,1
weeks,DATE,196
56 million,CARDINAL,6
3 million,CARDINAL,16
devine,ORG,2
15 million,CARDINAL,27
neil,ORG,3
late tuesday night,TIME,7
380000,CARDINAL,2
groups,ORG,8
ben wikler,PERSON,1
primary,PERSON,1
hillary clinton clinton,PERSON,8
devine,PRODUCT,1
connecticut,GPE,29
delaware,GPE,32
clinton oddson nominee,PERSON,1
twothirds,CARDINAL,16
hillary clinton bernie,PERSON,22
july 28,DATE,7
january 1996,DATE,7
monica lewinsky,PERSON,20
january 26 1998,DATE,7
august year,DATE,7
obama clinton,PERSON,36
june 2008,DATE,9
obama clinton biden members,PERSON,7
osama bin laden,PERSON,29
october 2011 2015,DATE,7
attack house committee meeting,ORG,4
october 2015,DATE,25
11hour,CARDINAL,11
months earlier,DATE,11
america clinton,PERSON,5
hugs clinton,PERSON,4
overnight,TIME,41
bernard cazeneuve,PERSON,7
jacques meric,PERSON,1
jan 8 2015,DATE,2
several overnight,TIME,1
chérif kouachi brothers,ORG,1
145 miles,QUANTITY,1
reuters,ORG,32
chérif kouachi,PERSON,5
paris metro,ORG,2
bbc,ORG,24
chérif kouachi,ORG,1
europe,LOC,221
christian science monitor,ORG,10
1000,CARDINAL,59
veterans day,DATE,1
january 1 9 million,DATE,1
1975,DATE,20
71 million,CARDINAL,5
350,CARDINAL,10
39,CARDINAL,33
163 million,CARDINAL,3
half million,CARDINAL,2
quarter,DATE,15
single penny,MONEY,1
581,CARDINAL,2
almost three months,DATE,1
50 month,DATE,1
rubio cruz,PERSON,20
toughest liveliest gop,PERSON,1
antonin,PERSON,1
next weeks,DATE,33
cruz board,ORG,1
day one,DATE,7
univision,ORG,10
bashar assad,PERSON,17
scalia,PERSON,72
obama wait,ORG,1
nomination kasich,ORG,1
